#########################################################################
#                                                                       #
# Veto MC configuration file for the April 09 beamtime                  #
#                                                                       #
#########################################################################
#
#
##      Total   Energy? Time?   Position?
Size:  384    1       0       1
#
#
#
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element:	   1	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000     -5.196152    3.000000  146.350000  
Element:	   2	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -10.392304    6.000000  146.350000
Element:	   3	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -10.392304    0.000000  146.350000
Element:	   4	   0.175  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -15.588456    9.000000  146.350000
Element:	   5	   0.255  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -15.588456    3.000000  146.350000
Element:	   6	   0.281  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -15.588456   -3.000000  146.350000
Element:	   7	   0.242  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -20.784609   12.000000  146.350000
Element:	   8	   0.238  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -20.784609    6.000000  146.350000
Element:	   9	   0.314  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -20.784609    0.000000  146.350000
Element:	  10	   0.230  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -20.784609   -6.000000  146.350000
Element:	  11	   0.282  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -25.980761   15.000000  146.350000
Element:	  12	   0.169  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -25.980761    9.000000  146.350000
Element:	  13	   0.196  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -25.980761    3.000000  146.350000
Element:	  14	   0.180  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -25.980761   -3.000000  146.350000
Element:	  15	   0.175  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -25.980761   -9.000000  146.350000
Element:	  16	   0.261  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912   18.000000  146.350000
Element:	  17	   0.198  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912   12.000000  146.350000
Element:	  18	   0.167  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912    6.000000  146.350000
Element:	  19	   0.244  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912    0.000000  146.350000
Element:	  20	   0.275  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912   -6.000000  146.350000
Element:	  21	   0.263  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -31.176912  -12.000000  146.350000
Element:	  22	   0.218  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062   21.000000  146.350000
Element:	  23	   0.199  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062   15.000000  146.350000
Element:	  24	   0.198  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062    9.000000  146.350000
Element:	  25	   0.351  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062    3.000000  146.350000
Element:	  26	   0.273  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062   -3.000000  146.350000
Element:	  27	   0.195  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062   -9.000000  146.350000
Element:	  28	   0.299  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -36.373062  -15.000000  146.350000
Element:	  29	   0.196  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218   24.000000  146.350000
Element:	  30	   0.216  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218   18.000000  146.350000
Element:	  31	   0.218  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218   12.000000  146.350000
Element:	  32	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218    6.000000  146.350000
Element:	  33	   0.184  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218    0.000000  146.350000
Element:	  34	   0.239  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218   -6.000000  146.350000
Element:	  35	   0.210  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218  -12.000000  146.350000
Element:	  36	   0.195  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -41.569218  -18.000000  146.350000
Element:	  37	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369   27.000000  146.350000
Element:	  38	   0.289  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369   21.000000  146.350000
Element:	  39	   0.207  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369   15.000000  146.350000
Element:	  40	   0.224  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369    9.000000  146.350000
Element:	  41	   0.300  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369    3.000000  146.350000
Element:	  42	9999.000  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369   -3.000000  146.350000
Element:	  43	   0.203  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369   -9.000000  146.350000
Element:	  44	   0.226  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369  -15.000000  146.350000
Element:	  45	   0.216  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -46.765369  -21.000000  146.350000
Element:	  46	   0.172  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521   30.000000  146.350000
Element:	  47	   0.192  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521   24.000000  146.350000
Element:	  48	   0.248  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521   18.000000  146.350000
Element:	  49	   0.160  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521   12.000000  146.350000
Element:	  50	   0.164  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521    6.000000  146.350000
Element:	  51	   0.157  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521    0.000000  146.350000
Element:	  52	   0.160  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521   -6.000000  146.350000
Element:	  53	   0.159  1800    0.00   1.000	  0 -2000	2000     0	0.0000    -51.961521  -12.000000  146.350000
